id,fecha_nacimiento,sexo,fecha_ingreso_institucion,fecha_ingreso_grado_actual,grado_actual,antiguedad_escalafon,abono_meses,retiro_voluntario_fecha,retiro_voluntario_causal
PDI-001,1968-04-12,M,1996-01-15,2020-01-01,5,1,0,2027-01-01,VOLUNTARIO
PDI-002,1972-09-30,F,2000-03-01,2021-01-01,7,1,0,,
PDI-003,1973-11-20,M,2001-05-15,2022-01-01,7,2,0,,
PDI-004,1975-07-08,F,2003-02-10,2020-01-01,8,1,0,,
PDI-005,1976-12-05,M,2004-08-22,2021-01-01,8,2,0,,
PDI-006,1978-03-18,F,2006-01-30,2020-01-01,9,1,0,,
PDI-007,1979-10-22,M,2007-06-15,2021-01-01,9,2,0,,
PDI-008,1981-05-04,F,2009-09-01,2021-01-01,11,1,0,,
PDI-009,1982-01-16,M,2010-04-12,2022-01-01,11,2,0,,
PDI-010,1985-08-25,F,2013-11-08,2022-01-01,12,1,0,,
PDI-011,1986-06-11,M,2014-03-20,2023-01-01,12,2,0,,
PDI-012,1990-02-14,F,2018-07-05,2024-01-01,13,1,0,,
PDI-013,1991-11-29,M,2019-10-22,2024-01-01,13,2,0,,
